name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW Seria 3 320d M Sport sport,215 900,2022 ,Poznań (Wielkopolskie),12 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Nowe BMW 320d / Pakiet Sportowy M / !Dostępny od Ręki! /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imc5d2c3NGdnMzUyNjMtT1RPTU9UT1BMIn0.6w7KRfnIQRMkfRaFZD-wRNihWdYjQX1yQkKAJW-uy-M/image;s=320x240
BMW X1 sDrive18i M Sport,187 800,2022 ,Swadzim (Wielkopolskie),17 319 km,Benzyna,Automatyczna,1 499 cm3 • 136 KM • 18i | M Pakiet | Podsufitka antracyt | Fotel sportowy | LED,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBpMWN6dDRscGtibTMtT1RPTU9UT1BMIn0.GnpGzHI85vbHDSk-wngyzLWk3Pn6JwcckdKr01dlgLQ/image;s=644x461
BMW Seria 5 520d xDrive mHEV,205 000,2021 ,Jodłownik (Małopolskie),45 650 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW Seria 5 G30/ m-pakiet / automat / xdrive / FV23%,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM5d2s3ZWtuNnhtbDMtT1RPTU9UT1BMIn0.mWBd2u9X3A8eWzpOuQelONu8Hn2JXWAaOQC8Ps3SVzs/image;s=320x240
BMW Seria 7 730d L,69 999,2011 ,Warszawa (Mazowieckie),264 999 km,Diesel,Automatyczna,"2 993 cm3 • 245 KM • BMW F02 730Ld long, idealna, FV 23%",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im8yaXl6YjFuMXZtbS1PVE9NT1RPUEwifQ.btD8_AkahwRBz4hQhVBBmx-BD3WbQQhh7Os-zFDVIVY/image;s=320x240
BMW X5 xDrive30d,52 900,2008 ,Pionki (Mazowieckie),292 000 km,Diesel,Automatyczna,2 993 cm3 • 235 KM • Bmw X5 3.0D zarejestrowany w PL modell 2009,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU3aTduZHB6c3kzZDMtT1RPTU9UT1BMIn0.q4TVX90Wv1o_e9ZbkfzUDzrxI5lq0uCDWdR9c3D5HqU/image;s=320x240
BMW Seria 5,28 000,2007 ,Wąsosz (Podlaskie),353 000 km,Diesel,Automatyczna,2 993 cm3 • 231 KM • Pierwszy właściciel w Polsce,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Img0bDNjeGZuOHI2ZDMtT1RPTU9UT1BMIn0.9lIdtHg58Z3n4uIMIs1Y7aTkYbxhCiVn41CkhL-6Q_s/image;s=320x240
BMW X1 sDrive18d M Sport,203 400,2024 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,1 998 cm3 • 150 KM • 2.0 (150KM) M Sport | Pakiet Premium + Ogrzewanie foteli,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjByeTl0Y3hpM21qajItT1RPTU9UT1BMIn0.YvUlezcpMPwtMXaUWb7eKzyI2Ga6keGF3qeLsUgC7mo/image;s=644x461
BMW X5,279 898,2019 ,Sierpc (Mazowieckie),120 000 km,Diesel,Automatyczna,3 000 cm3 • 400 KM • Panorama pneumatyka Salon Polska vat23,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVoY200aHJxcW12NC1PVE9NT1RPUEwifQ.EToY3A2SH6c3xR5boRFqssiDaOm-Zd1aQ9kRl27sGjs/image;s=644x461
BMW X7 xDrive40d mHEV M Sport sport,497 959,2024 ,Warszawa (Mazowieckie),1 km,Diesel,Automatyczna,2 993 cm3 • 340 KM • 40d xDrive M Sport | Bogata wersja! | Polski Salon | Rabat 70 141zł,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InA5M2h4amR0OHV1dDItT1RPTU9UT1BMIn0.VtL62uAcoVHuL9fDZjrnPVnhqMc53nOyK189GNQicAo/image;s=644x461
BMW X1,247 500,2024 ,Chorzów (Śląskie),1 km,Benzyna,Automatyczna,1 998 cm3 • 218 KM • 2.0 (218KM) M Sport | Pakiet Comfort + Innowacji,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxwNDU5aWd1ZXJ1azItT1RPTU9UT1BMIn0.2gMfGDrTtWv3JiawpCpqDXFrRiAwYEero3lt19WNwJA/image;s=644x461
